                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76217,                  1.581,                 0.9448,                0.93394,                0.89346,                 0.9471,                0.78192,                0.66857,                0.73851,                 0.8849,               0.003323,               0.003323,               0.003323
                      2,                 0.6976,                0.72125,                0.90333,                0.91571,                0.89956,                0.94324,                0.77974,                0.64326,                 0.6328,                0.89088,              0.0065905,              0.0065905,              0.0065905
                      3,                0.75566,                 0.6309,                0.92905,                0.88366,                0.86231,                0.91502,                0.72952,                0.73701,                0.70184,                0.93167,              0.0097919,              0.0097919,              0.0097919
                      4,                0.71484,                0.54534,                0.92317,                 0.9295,                0.87846,                0.94959,                0.80114,                0.62661,                0.50806,                0.89537,               0.009703,               0.009703,               0.009703
                      5,                0.66241,                0.48982,                0.90571,                0.93703,                0.91974,                0.96404,                0.81551,                0.61787,                0.47059,                0.89386,               0.009604,               0.009604,               0.009604
                      6,                0.62767,                0.45577,                0.89578,                 0.9263,                0.90513,                0.95771,                0.79086,                0.69797,                0.51717,                0.90793,               0.009505,               0.009505,               0.009505
                      7,                0.59647,                0.43074,                0.88683,                0.93371,                0.92073,                 0.9634,                0.83172,                0.56721,                0.42567,                0.87362,               0.009406,               0.009406,               0.009406
                      8,                 0.5755,                0.41211,                0.88002,                0.94641,                0.93979,                0.97413,                0.85249,                0.55291,                0.38879,                0.87027,               0.009307,               0.009307,               0.009307
                      9,                0.54889,                0.39341,                0.87378,                0.94319,                0.93866,                0.97383,                 0.8523,                0.56225,                0.39842,                  0.871,               0.009208,               0.009208,               0.009208
                     10,                0.53327,                0.38163,                  0.869,                0.94613,                0.93058,                0.97043,                0.85753,                0.53501,                0.38188,                0.86623,               0.009109,               0.009109,               0.009109
                     11,                0.51818,                0.36671,                0.86593,                0.95099,                0.92564,                0.97413,                 0.8668,                  0.531,                0.36957,                0.86238,                0.00901,                0.00901,                0.00901
                     12,                0.50554,                0.36071,                0.86107,                0.93658,                0.92641,                0.97062,                0.86541,                0.51668,                0.38505,                0.85928,               0.008911,               0.008911,               0.008911
                     13,                0.49936,                0.35598,                0.86084,                0.94435,                0.92623,                0.97449,                0.85916,                0.53623,                0.36711,                0.85789,               0.008812,               0.008812,               0.008812
                     14,                0.48808,                0.34837,                0.85616,                 0.9506,                0.94229,                0.97817,                0.88152,                0.48392,                0.34481,                0.85139,               0.008713,               0.008713,               0.008713
                     15,                 0.4764,                0.33468,                0.85377,                0.94521,                0.94366,                 0.9768,                0.87035,                0.49993,                 0.3516,                 0.8555,               0.008614,               0.008614,               0.008614
                     16,                0.47838,                0.33679,                  0.855,                  0.958,                0.93896,                0.97795,                 0.8828,                0.49266,                0.34284,                0.85268,               0.008515,               0.008515,               0.008515
                     17,                0.46582,                0.32645,                0.85049,                0.95556,                0.94697,                0.98205,                0.88842,                0.48086,                0.32242,                0.85101,               0.008416,               0.008416,               0.008416
                     18,                0.45989,                0.32859,                0.84993,                0.95323,                0.94507,                0.97986,                0.88245,                0.48861,                0.32175,                0.84925,               0.008317,               0.008317,               0.008317
                     19,                0.44799,                0.31566,                0.84557,                0.95255,                0.94518,                0.98088,                0.89041,                0.47263,                0.31691,                 0.8493,               0.008218,               0.008218,               0.008218
                     20,                0.43935,                0.30888,                0.84237,                0.95185,                0.94751,                0.98078,                0.89407,                0.45785,                0.31487,                0.84592,               0.008119,               0.008119,               0.008119
                     21,                0.44163,                 0.3099,                0.84414,                0.95986,                0.94332,                0.98124,                0.89295,                  0.469,                0.31057,                0.84526,                0.00802,                0.00802,                0.00802
                     22,                0.43176,                0.30538,                0.84395,                0.95443,                0.95791,                0.98381,                0.89496,                0.45971,                0.30041,                0.84269,               0.007921,               0.007921,               0.007921
                     23,                0.42193,                0.29586,                0.84171,                0.95622,                0.94897,                0.98344,                0.89242,                0.46081,                0.30911,                0.84146,               0.007822,               0.007822,               0.007822
                     24,                0.41964,                0.29569,                0.84345,                0.96133,                0.94945,                0.98521,                0.90532,                0.44423,                0.29303,                0.83782,               0.007723,               0.007723,               0.007723
